G3516	SAMEA118265843
G3517	SAMEA118265844
G3518	SAMEA118265845
G3519	SAMEA118265846
G3647	SAMEA118265847
G3649	SAMEA118265848
G3650	SAMEA118265849
G3652	SAMEA118265850
G3653	SAMEA118265851
G3655	SAMEA118265852
G3656	SAMEA118265853
G3657	SAMEA118265854
G3658	SAMEA118265855
G3660	SAMEA118265856
G3661	SAMEA118265857
G3663	SAMEA118265858
G3664	SAMEA118265859
G3665	SAMEA118265860
G3666	SAMEA118265861
G368m	SAMEA5076127
G3699	SAMEA118265862
G3700	SAMEA118265863
G3703	SAMEA118265865
G3704	SAMEA118265866
G3705	SAMEA118265867
G3710	SAMEA118265868
G3714	SAMEA118265869
G401m	SAMEA5076128
G405m	SAMEA5076129
G465	SAMEA5076131
G497m	SAMEA5076132
G500m	SAMEA5076133
G536m	SAMEA5076134
G538m	SAMEA5076135
G545m	SAMEA5076136
G552m	SAMEA5076137
G553m	SAMEA5076138
G562m	SAMEA5076139
G621m	SAMEA5076141
G623m	SAMEA5076142
G63	SAMEA5076143
G637m	SAMEA5076144
G679m	SAMEA5076145
G693m	SAMEA5076146
G733	SAMEA5076147
G735	SAMEA118265870
G76	SAMEA5076148
G764m	SAMEA5076149
G77	SAMEA5076150
G778m	SAMEA5076151
G78	SAMEA5076152
G788FE29	SAMEA5076153
G813m	SAMEA5076154
G815m	SAMEA5076155
G830m	SAMEA5076156
G837m	SAMEA5076157
G839m	SAMEA5076158
G848m	SAMEA5076159
G850m	SAMEA5076160
G871m	SAMEA5076161
G881m	SAMEA5076162
G882m	SAMEA5076163
G909	SAMEA5076164
G917	SAMEA5076165
G932	SAMEA5076166
G940	SAMEA5076167
G99	SAMEA5076168
